"source","relative_path","file_name","year_hint","size_bytes","size_mb","creation_time_local","last_write_time_local","creation_time_utc","last_write_time_utc","sha256"
"ANTAQ","antaq/2010.zip","2010.zip","2010","21934907","20.919","2026-03-19 14:29:00","2026-03-19 14:19:30","2026-03-19 17:29:00","2026-03-19 17:19:30","6B9166706673ABAB90361449BD3E1F4320C452E6CE527AE78A7EDB575784D7F7"
"ANTAQ","antaq/2011.zip","2011.zip","2011","26459975","25.234","2026-03-19 14:29:00","2026-03-19 14:19:28","2026-03-19 17:29:00","2026-03-19 17:19:28","318ADD57F34F8DD9FF95C3E4B624B10B28C02CD1012C70201C854F4CA3DDB8FD"
"ANTAQ","antaq/2012.zip","2012.zip","2012","27653000","26.372","2026-03-19 14:29:00","2026-03-19 14:19:26","2026-03-19 17:29:00","2026-03-19 17:19:26","C3152BE4BAC798A3A1F85586494FB4B82D0CF9B7D02183AE2D03140B2A05939F"
"ANTAQ","antaq/2013.zip","2013.zip","2013","36232992","34.554","2026-03-19 14:29:00","2026-03-19 14:19:24","2026-03-19 17:29:00","2026-03-19 17:19:24","1B558C3A93FCB23C6465C848F647D37905411CB7D75AB30BC53D9A46C478FDDC"
"ANTAQ","antaq/2014.zip","2014.zip","2014","39193802","37.378","2026-03-19 14:29:00","2026-03-19 14:19:23","2026-03-19 17:29:00","2026-03-19 17:19:23","C65D5567348EC6977BC003C60EC1AA5BE44BA2D9C68398C16941EF12A483BAA7"
"ANTAQ","antaq/2015.zip","2015.zip","2015","37556081","35.816","2026-03-19 14:29:00","2026-03-19 14:19:20","2026-03-19 17:29:00","2026-03-19 17:19:20","9DFCDE3EB8415D55206C8A846688F923E5A73BA258386285121CCB5481895A97"
"ANTAQ","antaq/2016.zip","2016.zip","2016","40565250","38.686","2026-03-19 14:29:00","2026-03-19 14:19:17","2026-03-19 17:29:00","2026-03-19 17:19:17","C4FD18919FF0F4521F7B8DE364A228077C35AA21E226A5FD866D21A1859B6A35"
"ANTAQ","antaq/2017.zip","2017.zip","2017","44004814","41.966","2026-03-19 15:06:59","2026-03-19 15:06:45","2026-03-19 18:06:59","2026-03-19 18:06:45","0B43A1ADCC356C3CC4FC58C0F1DC2F162640958BDE06E5ED0A6023A6DE1FF806"
"ANTAQ","antaq/2018.zip","2018.zip","2018","49237616","46.957","2026-03-19 14:29:00","2026-03-19 14:19:15","2026-03-19 17:29:00","2026-03-19 17:19:15","96306A8A0742F0ECCECACF09874597E7109AC4E072C22A54FBFCC9288D6FB06C"
"ANTAQ","antaq/2019.zip","2019.zip","2019","51164836","48.795","2026-03-19 14:29:00","2026-03-19 14:19:12","2026-03-19 17:29:00","2026-03-19 17:19:12","43E28469E7ED63A971973CCC1292402FAECD3815DF9ED78CDCE3DF721EE07277"
"ANTAQ","antaq/2020.zip","2020.zip","2020","53341159","50.87","2026-03-19 14:29:00","2026-03-19 14:19:09","2026-03-19 17:29:00","2026-03-19 17:19:09","12B8A6D880875DB7DCA506293A861B94F85277FC01785EC3DCEB9E8718045C39"
"ANTAQ","antaq/2021.zip","2021.zip","2021","62675026","59.772","2026-03-19 14:29:00","2026-03-19 14:19:05","2026-03-19 17:29:00","2026-03-19 17:19:05","EAE2065C057EA4527D884B119FA617489CBF83F69D647B35F25DC88A66EAFE47"
"ANTAQ","antaq/2022.zip","2022.zip","2022","63146619","60.221","2026-03-19 14:29:00","2026-03-19 14:19:02","2026-03-19 17:29:00","2026-03-19 17:19:02","B991B0BEB0B9A65C62A597B7E38B874DF8B981F13E2131490107FA08913F4AD2"
"ANTAQ","antaq/2023.zip","2023.zip","2023","70084455","66.838","2026-03-19 14:29:00","2026-03-19 14:18:59","2026-03-19 17:29:00","2026-03-19 17:18:59","1C88A3785C121455074BA3E92137BDAF8F113C16A9317FE3C3C7176163D9E72D"
"ANTAQ","antaq/2024.zip","2024.zip","2024","79750932","76.056","2026-03-19 14:29:00","2026-03-19 14:18:55","2026-03-19 17:29:00","2026-03-19 17:18:55","13243EF05BAB2219B42818DE134D9D24BE29D92008B38A80ED2BBCBF3791A21E"
"ANTAQ","antaq/2025.zip","2025.zip","2025","77791091","74.187","2026-03-19 14:29:00","2026-03-19 12:05:29","2026-03-19 17:29:00","2026-03-19 15:05:29","587E764B5B7A1C62CD18579ADA6282198BB49812848497819BD276B0BA214654"
"ANTAQ","antaq/2026.zip","2026.zip","2026","6045992","5.766","2026-03-19 14:29:00","2026-03-19 12:05:16","2026-03-19 17:29:00","2026-03-19 15:05:16","6FAA9C46C1D1430CC61184AE036616F3F30F506042D2EBF8E9F89CEB212EE697"
"ANTAQ","antaq/InstalacaoDestino.zip","InstalacaoDestino.zip","","102979","0.098","2026-03-19 14:29:00","2026-03-19 14:19:37","2026-03-19 17:29:00","2026-03-19 17:19:37","0A314C56DF0654EBE77710E2ECF9642CD15921B0BF5159E34BA887375A4E3CB2"
"ANTAQ","antaq/InstalacaoOrigem.zip","InstalacaoOrigem.zip","","70465","0.067","2026-03-19 14:29:00","2026-03-19 14:19:35","2026-03-19 17:29:00","2026-03-19 17:19:35","0B222CCEE868886262B7E76D0A86AD348EB5FF4E863BD1911FF1BFF3431A241F"
"ANTAQ","antaq/Mercadoria(1).zip","Mercadoria(1).zip","","58195","0.055","2026-03-19 14:29:00","2026-03-19 14:19:38","2026-03-19 17:29:00","2026-03-19 17:19:38","3D4E95FA54E2D6794156AA55B9552032CD5FA615E48B81428ED99AE882A6C257"
"ANTAQ","antaq/Mercadoria.zip","Mercadoria.zip","","58195","0.055","2026-03-19 14:29:00","2026-03-19 12:07:26","2026-03-19 17:29:00","2026-03-19 15:07:26","3D4E95FA54E2D6794156AA55B9552032CD5FA615E48B81428ED99AE882A6C257"
"ANTAQ","antaq/MercadoriaConteinerizada.zip","MercadoriaConteinerizada.zip","","53330","0.051","2026-03-19 14:29:00","2026-03-19 14:19:39","2026-03-19 17:29:00","2026-03-19 17:19:39","8534FE23FC35DBB35CE8F9D633D6B7C9D1C0EF0C7058F9753B86F2B276C3EDBF"
"ComexStat","comexstat/EXP_2011.csv","EXP_2011.csv","2011","71587770","68.271","2026-03-19 11:19:14","2026-02-24 15:51:53","2026-03-19 14:19:14","2026-02-24 18:51:53","B6DF842103DF765459D399FEF212490791CDF1B886EA01C966C63060F1A2DF66"
"ComexStat","comexstat/EXP_2012.csv","EXP_2012.csv","2012","71576505","68.261","2026-03-19 11:19:14","2026-02-24 15:51:51","2026-03-19 14:19:14","2026-02-24 18:51:51","CEFDDED5B8620E11DCC10B5F2FEDF699C4CEF1311F45F77B36CD3965BA9AC9F6"
"ComexStat","comexstat/EXP_2013.csv","EXP_2013.csv","2013","72313147","68.963","2026-03-19 11:19:14","2026-02-24 15:51:50","2026-03-19 14:19:14","2026-02-24 18:51:50","90D5685BF2BFA8496211B5B3A02EE16F4D985539082B8E7F27222B2989FAB5CE"
"ComexStat","comexstat/EXP_2014.csv","EXP_2014.csv","2014","71136197","67.841","2026-03-19 11:19:14","2026-02-24 15:51:22","2026-03-19 14:19:14","2026-02-24 18:51:22","9AF65685C67CCC9874969EE8A18ECE80896EB790E1290A06CA0E4BC57734275A"
"ComexStat","comexstat/EXP_2015.csv","EXP_2015.csv","2015","70522644","67.256","2026-03-19 11:19:14","2026-02-24 15:51:23","2026-03-19 14:19:14","2026-02-24 18:51:23","B6B8231DD75A4AB3F7AE684821B8A0C9298B8E9800E420ED5FE2B058EBE9F7EB"
"ComexStat","comexstat/EXP_2016.csv","EXP_2016.csv","2016","73442651","70.04","2026-03-19 11:19:14","2026-02-24 15:51:23","2026-03-19 14:19:14","2026-02-24 18:51:23","84EBF5BC2ACF84D53F740ED290C2308E5E0EB5B104C9DC68996B495D977DC4DC"
"ComexStat","comexstat/EXP_2017.csv","EXP_2017.csv","2017","73808658","70.389","2026-03-19 11:19:14","2026-02-24 15:51:25","2026-03-19 14:19:14","2026-02-24 18:51:25","BF6E081CF30AEEB9EBC7817A7FDE3173C08EEBA1ED80A5370D8138000E0860A8"
"ComexStat","comexstat/EXP_2018.csv","EXP_2018.csv","2018","75844592","72.331","2026-03-19 11:19:14","2026-02-24 15:51:25","2026-03-19 14:19:14","2026-02-24 18:51:25","EEB44942FBDDB288B41915E7EBAC8F577042CF4AF6112A87C1C4BC3C9E9DF243"
"ComexStat","comexstat/EXP_2019.csv","EXP_2019.csv","2019","92714771","88.42","2026-03-19 11:19:14","2026-02-24 15:51:29","2026-03-19 14:19:14","2026-02-24 18:51:29","39639A8BFA52255F93524697F285CD7CB1CFAF525AC2932EF1B73CE5B2F2F0CC"
"ComexStat","comexstat/EXP_2020.csv","EXP_2020.csv","2020","89392892","85.252","2026-03-19 11:19:14","2026-02-24 15:51:29","2026-03-19 14:19:14","2026-02-24 18:51:29","A2F0A398B84874D46CA8040F054C588CABF3AFE815422552C5358DFE238625AA"
"ComexStat","comexstat/EXP_2021.csv","EXP_2021.csv","2021","98548263","93.983","2026-03-19 11:19:14","2026-02-24 15:51:29","2026-03-19 14:19:14","2026-02-24 18:51:29","B8842AF7F32CEF5104EB24CE9C54B84F0815E428657DB408BFD025850A76E15B"
"ComexStat","comexstat/EXP_2022.csv","EXP_2022.csv","2022","99641309","95.025","2026-03-19 11:19:14","2026-02-24 15:51:33","2026-03-19 14:19:14","2026-02-24 18:51:33","2D5148D6AFB2749A4EB1F11807242D85166D186B4AA82B19B49A9E6C0256F8EA"
"ComexStat","comexstat/EXP_2023.csv","EXP_2023.csv","2023","103932897","99.118","2026-03-19 11:19:14","2026-02-24 15:51:32","2026-03-19 14:19:14","2026-02-24 18:51:32","3BFAEB2751DED80C4387AD2D4964F8FB7E4529C45810777D77A48A466E9C6B36"
"ComexStat","comexstat/EXP_2024.csv","EXP_2024.csv","2024","106702953","101.76","2026-03-19 11:19:14","2026-02-24 15:51:34","2026-03-19 14:19:14","2026-02-24 18:51:34","9DCDDFCB2089709C6E738F4A7FD1E529E66F1CEAE8C66DCC1550884277548B78"
"ComexStat","comexstat/EXP_2025.csv","EXP_2025.csv","2025","113715007","108.447","2026-03-19 11:19:14","2026-02-24 15:51:34","2026-03-19 14:19:14","2026-02-24 18:51:34","34571D3FB125DB0423F4A0785E7B40C26C815A90CCFA9783E457A1C34A96B96C"
"ComexStat","comexstat/EXP_2026.csv","EXP_2026.csv","2026","16487784","15.724","2026-03-19 11:19:14","2026-03-19 15:51:04","2026-03-19 14:19:14","2026-03-19 18:51:04","99C4B72EC6999C4764275069DEAD0B121070F36822B25CFA5A6CD5AD8905FE3F"
"ComexStat","comexstat/NCM.csv","NCM.csv","","3384516","3.228","2026-03-19 11:19:14","2026-02-26 18:47:06","2026-03-19 14:19:14","2026-02-26 21:47:06","C2162CFD28B301314415D69EB28A6115B02F78C23A577AA0B59297D0FE44F05F"
